Date,Open,High,Low,Close,Adj Close,Volume
24/12/19,46.099998,46.61,45.77,46.540001,46.540001,44432200
26/12/19,46.990002,47.31,45.66,46.630001,46.630001,57562800
27/12/19,46.849998,46.88,45.98,46.18,46.18,36581300
30/12/19,46.139999,46.17,44.66,45.52,45.52,41149700
31/12/19,45.07,46.09,44.92,45.860001,45.860001,31673200
2/1/2020,46.860001,49.25,46.63,49.099998,49.099998,80331100
3/1/2020,48.029999,49.39,47.54,48.599998,48.599998,73127400
6/1/2020,48.02,48.86,47.86,48.389999,48.389999,47934900
7/1/2020,49.349998,49.39,48.04,48.25,48.25,58061400
8/1/2020,47.849998,48.3,47.14,47.830002,47.830002,53767000
9/1/2020,48.939999,49.96,48.39,48.970001,48.970001,76512800
10/1/2020,49.259998,49.29,48,48.169998,48.169998,44133700
13/01/20,48.66,48.86,48.24,48.75,48.75,34266800
14/01/20,48.639999,49.04,47.91,48.209999,48.209999,38563200
15/01/20,48.23,49.08,48.12,48.549999,48.549999,40199900
16/01/20,49.169998,50.31,48.99,49.77,49.77,58898900
17/01/20,50.200001,51.05,49.9,50.93,50.93,57722500
21/01/20,50.959999,51.81,50.7,51.049999,51.049999,49095000
22/01/20,51.630001,51.88,51.2,51.43,51.43,40772200
23/01/20,51.34,51.75,50.74,51.709999,51.709999,40135400
24/01/20,52.279999,52.81,49.47,50.349998,50.349998,80004900
27/01/20,48.450001,49.79,47.9,49.259998,49.259998,48878600
28/01/20,50.029999,50.85,49.48,50.529999,50.529999,62343800
29/01/20,47.84,48.07,46.1,47.509998,47.509998,112349900
30/01/20,46.490002,48.81,46.13,48.779999,48.779999,70460200
31/01/20,48.400002,48.58,46.79,47,47,60322400
3/2/2020,46.400002,48.1,46.23,48.02,48.02,47077000
4/2/2020,49.209999,49.75,48.61,49.450001,49.450001,46302100
5/2/2020,50.290001,50.42,49.31,49.84,49.84,42737100
6/2/2020,48.799999,49.39,47.63,49.32,49.32,48670600
7/2/2020,48.91,50.67,48.64,49.73,49.73,53107600
10/2/2020,49.470001,52.3,49.35,52.259998,52.259998,60971700
11/2/2020,53.220001,54.48,52.91,53.799999,53.799999,74719100
12/2/2020,54.529999,54.85,53.53,53.889999,53.889999,45994900
13/02/20,53.43,55.03,53.34,54.529999,54.529999,51640000
14/02/20,55.189999,55.4,54.56,55.310001,55.310001,52365400
18/02/20,54.939999,58.13,54.84,56.889999,56.889999,70133200
19/02/20,57.990002,59.27,57.51,58.900002,58.900002,58597300
20/02/20,58.439999,59.02,56.15,57.27,57.27,74203400
21/02/20,56.709999,56.8,52.89,53.279999,53.279999,88271100
24/02/20,48.18,50.28,47.49,49.119999,49.119999,86624100
25/02/20,51.139999,51.24,47.12,47.57,47.57,88699400
26/02/20,47.700001,49.29,47.07,47.490002,47.490002,86378400
27/02/20,45.380001,46.24,42.21,44.009998,44.009998,106416200
28/02/20,41.360001,46.15,41.04,45.48,45.48,100667700
2/3/2020,47.419998,47.68,44.66,47.459999,47.459999,102324700
3/3/2020,49.029999,50.2,45.67,46.75,46.75,141972300
4/3/2020,48.25,50.14,47.21,50.110001,50.110001,93311800
5/3/2020,48.68,49.72,47.51,48.110001,48.110001,98302700
6/3/2020,49.439999,49.54,46.74,48.59,48.59,124590900
9/3/2020,43.029999,46.34,42.51,43.27,43.27,80859800
10/3/2020,45.41,45.44,43.1,45.380001,45.380001,76228200
11/3/2020,44.189999,45.97,43.8,45.700001,45.700001,101601100
12/3/2020,42,42.5,39,39.009998,39.009998,107461500
13/03/20,42.200001,43.91,39.6,43.900002,43.900002,86689700
16/03/20,39.080002,43.37,38.51,38.709999,38.709999,84545900
17/03/20,40.189999,42.88,38.3,41.880001,41.880001,92741900
18/03/20,39.540001,41.95,36.75,39.119999,39.119999,106949300
19/03/20,39.560001,41.7,37.69,39.82,39.82,88939000
20/03/20,41.509998,42.48,39.58,39.610001,39.610001,106859500
23/03/20,40.619999,42.32,38.95,41.639999,41.639999,101704700
24/03/20,44.040001,46.81,43.99,46.220001,46.220001,106794200
25/03/20,46.790001,47.88,44.43,44.630001,44.630001,93760400
26/03/20,45.779999,47.5,45.4,47.5,47.5,73680200
27/03/20,46.32,47.98,45.9,46.580002,46.580002,74599200
30/03/20,47.240002,48.46,46.66,47.860001,47.860001,68486600
31/03/20,47.93,48.53,45.16,45.48,45.48,83483700
1/4/2020,44.18,46.85,43.16,43.66,43.66,92083100
2/4/2020,43.400002,45.28,43.1,44.490002,44.490002,79024100
3/4/2020,44.299999,44.84,41.7,42.59,42.59,79335000
6/4/2020,44.299999,47.58,44.06,47.52,47.52,82294000
7/4/2020,48.959999,49.65,46.68,47.560001,47.560001,102098700
8/4/2020,48.07,49,47.61,48.790001,48.790001,64930800
9/4/2020,49.650002,50.25,47.72,48.380001,48.380001,80357400
13/04/20,48.470001,51.07,48.23,50.939999,50.939999,64290100
14/04/20,52.240002,55.14,52.11,54.93,54.93,85306800
15/04/20,53.73,55.57,53.41,54.990002,54.990002,83814000
16/04/20,55.959999,58.08,55.63,56.950001,56.950001,103106500
17/04/20,57.349998,57.76,55.55,56.599998,56.599998,76908800
20/04/20,55.98,58.63,55.85,56.970001,56.970001,72367300
21/04/20,56.900002,57.73,51.41,52.919998,52.919998,123906400
22/04/20,54.91,56.15,54.34,55.919998,55.919998,63164100
23/04/20,56.650002,57.29,55.64,55.900002,55.900002,69662700
24/04/20,55.099998,56.78,54.42,56.18,56.18,72761000
